                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7261,                 3.7944,                 3.8626,                0.37275,                0.28082,                0.25302,                0.14457,                 1.9076,                 2.9269,                 3.0114,               0.003327,               0.003327,               0.003327
                      2,                 1.7799,                 2.2051,                 2.4788,                0.76704,                0.52202,                0.59514,                0.44997,                 1.1358,                  1.615,                 1.8579,              0.0066383,              0.0066383,              0.0066383
                      3,                 1.2889,                 1.6054,                 1.8779,                0.88865,                0.59051,                0.69227,                0.53984,                0.96226,                 1.3285,                 1.5653,              0.0099277,              0.0099277,              0.0099277
                      4,                 1.0949,                 1.2889,                 1.6248,                0.91368,                0.64731,                0.74847,                0.60603,                0.83336,                 0.9473,                 1.3909,               0.009901,               0.009901,               0.009901
                      5,                0.99772,                 1.1191,                 1.5042,                0.91374,                0.68787,                0.76845,                 0.6326,                0.78845,                0.83531,                 1.3133,               0.009868,               0.009868,               0.009868
                      6,                0.93809,                 1.0184,                 1.4331,                  0.928,                 0.6999,                0.78372,                0.63876,                0.78907,                0.91427,                 1.3018,               0.009835,               0.009835,               0.009835
                      7,                0.89023,                 0.9413,                 1.3809,                0.94186,                0.71336,                 0.8022,                0.66458,                0.73353,                  0.708,                 1.2486,               0.009802,               0.009802,               0.009802
                      8,                0.87107,                0.88978,                 1.3535,                0.92526,                0.71135,                0.80344,                0.65835,                0.74439,                0.74351,                 1.2423,               0.009769,               0.009769,               0.009769
                      9,                0.84085,                0.85071,                 1.3244,                0.92139,                0.72847,                0.81726,                0.67848,                0.72523,                0.67194,                 1.2351,               0.009736,               0.009736,               0.009736
                     10,                0.83164,                0.82816,                 1.3099,                0.94821,                0.73337,                0.82723,                0.69016,                0.69751,                 0.6488,                 1.1999,               0.009703,               0.009703,               0.009703
                     11,                0.81766,                 0.8053,                  1.292,                0.93254,                0.74168,                0.82855,                0.69237,                0.70163,                0.65925,                 1.1961,                0.00967,                0.00967,                0.00967
                     12,                0.80389,                0.78237,                 1.2749,                0.94007,                0.75978,                0.83593,                0.70031,                0.68891,                0.61895,                 1.1857,               0.009637,               0.009637,               0.009637
                     13,                0.79508,                0.75701,                 1.2657,                0.94171,                0.75872,                0.83916,                0.70663,                0.67909,                0.59867,                   1.17,               0.009604,               0.009604,               0.009604
                     14,                0.78564,                0.74594,                 1.2524,                0.93068,                0.76191,                0.84558,                0.70984,                0.67914,                0.59079,                 1.1696,               0.009571,               0.009571,               0.009571
                     15,                0.78341,                0.73618,                 1.2462,                0.94818,                0.75734,                0.84372,                0.70902,                0.66877,                0.58376,                 1.1554,               0.009538,               0.009538,               0.009538
                     16,                0.76615,                0.71392,                 1.2337,                 0.9529,                0.75538,                0.84583,                0.71188,                0.67917,                0.58475,                 1.1625,               0.009505,               0.009505,               0.009505
                     17,                0.76312,                0.70433,                 1.2296,                0.94301,                 0.7637,                0.85175,                0.72016,                0.66837,                0.56175,                 1.1489,               0.009472,               0.009472,               0.009472
                     18,                0.76213,                0.70397,                 1.2271,                0.94208,                0.75595,                 0.8502,                0.71925,                0.66348,                0.57163,                 1.1499,               0.009439,               0.009439,               0.009439
                     19,                0.75342,                0.68744,                 1.2185,                0.94602,                0.77153,                0.85826,                0.72126,                0.66578,                0.55296,                 1.1527,               0.009406,               0.009406,               0.009406
                     20,                0.74111,                0.67558,                  1.209,                0.95423,                0.75471,                0.84821,                0.72038,                0.65941,                0.54984,                 1.1467,               0.009373,               0.009373,               0.009373
                     21,                0.73647,                0.66508,                 1.2025,                0.93242,                0.78327,                0.86249,                0.72606,                0.65721,                0.56412,                 1.1424,                0.00934,                0.00934,                0.00934
                     22,                0.73158,                0.65808,                  1.197,                0.94235,                0.77544,                 0.8631,                0.73165,                0.65489,                0.52233,                  1.137,               0.009307,               0.009307,               0.009307
                     23,                0.73254,                0.65353,                 1.1972,                0.94315,                0.77916,                0.86497,                0.73455,                 0.6507,                0.52415,                 1.1325,               0.009274,               0.009274,               0.009274
                     24,                 0.7249,                0.64053,                 1.1867,                0.95795,                0.76174,                0.86518,                0.73417,                0.65008,                 0.5263,                 1.1313,               0.009241,               0.009241,               0.009241
                     25,                0.72278,                0.64111,                  1.189,                0.94445,                0.77363,                0.86441,                0.73335,                0.64923,                0.51746,                 1.1361,               0.009208,               0.009208,               0.009208
                     26,                0.72295,                0.63749,                 1.1894,                0.94611,                0.77348,                0.86765,                0.73352,                0.64703,                0.53165,                 1.1324,               0.009175,               0.009175,               0.009175
                     27,                0.71095,                0.62687,                 1.1772,                0.93898,                0.77549,                0.86746,                0.73758,                0.64003,                0.51336,                 1.1232,               0.009142,               0.009142,               0.009142
                     28,                0.71374,                0.62127,                 1.1746,                0.93988,                0.78777,                 0.8741,                0.73952,                0.64739,                0.50023,                 1.1227,               0.009109,               0.009109,               0.009109
                     29,                0.70992,                0.61612,                 1.1713,                 0.9475,                0.77397,                0.87763,                 0.7416,                 0.6488,                0.49663,                 1.1257,               0.009076,               0.009076,               0.009076
                     30,                0.70726,                0.60422,                 1.1736,                0.92604,                0.79637,                0.87261,                0.74106,                0.64328,                0.49955,                 1.1231,               0.009043,               0.009043,               0.009043
                     31,                0.70187,                  0.609,                 1.1728,                0.94555,                0.79159,                0.87537,                0.74662,                0.63171,                0.48259,                 1.1087,                0.00901,                0.00901,                0.00901
                     32,                0.70725,                0.60847,                 1.1683,                0.94005,                0.79207,                0.87979,                0.74609,                0.63945,                0.49186,                 1.1184,               0.008977,               0.008977,               0.008977
                     33,                0.69892,                0.59402,                 1.1663,                0.93756,                0.79061,                0.87474,                 0.7448,                0.63855,                0.49716,                 1.1222,               0.008944,               0.008944,               0.008944
                     34,                0.69725,                0.60041,                 1.1604,                0.93088,                 0.7999,                0.88035,                0.74469,                 0.6375,                0.50316,                 1.1209,               0.008911,               0.008911,               0.008911
                     35,                0.69781,                0.58888,                 1.1596,                0.94179,                0.79599,                0.87918,                0.74669,                0.63257,                0.48321,                 1.1122,               0.008878,               0.008878,               0.008878
                     36,                0.69297,                0.59048,                 1.1569,                0.93019,                0.78883,                0.87633,                0.74738,                0.63133,                0.49129,                 1.1095,               0.008845,               0.008845,               0.008845
                     37,                0.69796,                0.59172,                 1.1547,                0.94447,                0.79055,                0.88687,                0.75484,                0.63232,                0.47056,                 1.1073,               0.008812,               0.008812,               0.008812
                     38,                0.69315,                0.58126,                 1.1476,                0.93627,                0.79776,                0.88243,                 0.7499,                0.63498,                0.46912,                 1.1082,               0.008779,               0.008779,               0.008779
                     39,                0.68753,                0.57571,                 1.1464,                0.94963,                0.78816,                0.87807,                0.74491,                 0.6435,                0.48063,                 1.1174,               0.008746,               0.008746,               0.008746
                     40,                0.68771,                0.57189,                   1.15,                0.94029,                0.79352,                0.88231,                0.75104,                0.62829,                0.46654,                 1.1019,               0.008713,               0.008713,               0.008713
                     41,                0.68264,                0.57102,                 1.1453,                0.94115,                0.79403,                0.87892,                 0.7484,                0.63056,                0.46782,                 1.1039,                0.00868,                0.00868,                0.00868
                     42,                0.67576,                0.56431,                 1.1412,                0.93818,                0.79441,                0.87973,                0.74658,                 0.6355,                0.47698,                 1.1066,               0.008647,               0.008647,               0.008647
                     43,                0.68183,                0.56735,                 1.1363,                0.92264,                0.80235,                0.88007,                0.75082,                0.62706,                0.46678,                 1.1021,               0.008614,               0.008614,               0.008614
                     44,                0.68042,                0.55755,                 1.1388,                0.94507,                0.79959,                0.88637,                0.75583,                0.62375,                0.45845,                 1.0957,               0.008581,               0.008581,               0.008581
                     45,                0.67669,                0.55873,                 1.1405,                0.91986,                0.80528,                0.88052,                0.75021,                0.62963,                0.46613,                 1.1021,               0.008548,               0.008548,               0.008548
                     46,                0.67093,                0.55115,                 1.1341,                0.93342,                 0.8025,                0.88314,                0.75448,                 0.6254,                0.46215,                 1.0992,               0.008515,               0.008515,               0.008515
                     47,                0.67536,                0.55503,                 1.1362,                0.92258,                0.81035,                0.88927,                 0.7588,                0.61821,                0.45079,                 1.0931,               0.008482,               0.008482,               0.008482
                     48,                0.66973,                0.54808,                 1.1341,                0.91457,                0.80871,                0.88571,                0.75286,                0.62754,                0.45426,                 1.0958,               0.008449,               0.008449,               0.008449
                     49,                0.67132,                0.55089,                  1.134,                0.93248,                0.80398,                0.88586,                0.75383,                0.62561,                0.45503,                 1.1036,               0.008416,               0.008416,               0.008416
                     50,                0.66159,                0.54015,                 1.1298,                 0.9372,                0.80308,                0.88788,                0.75859,                0.61812,                 0.4468,                 1.0889,               0.008383,               0.008383,               0.008383
                     51,                0.67225,                0.54711,                 1.1285,                0.92404,                0.81535,                0.89018,                 0.7578,                 0.6217,                0.44119,                 1.0932,                0.00835,                0.00835,                0.00835
                     52,                0.66263,                0.53582,                 1.1234,                0.94946,                0.79959,                0.88939,                0.75905,                 0.6179,                0.44324,                 1.0913,               0.008317,               0.008317,               0.008317
                     53,                0.65834,                0.53134,                 1.1238,                0.95742,                0.79196,                0.88885,                0.76112,                0.61786,                0.44329,                 1.0914,               0.008284,               0.008284,               0.008284
                     54,                0.66054,                0.52612,                 1.1219,                0.92423,                0.81157,                0.88926,                0.75898,                0.61888,                0.44464,                 1.0949,               0.008251,               0.008251,               0.008251
                     55,                0.65982,                0.53217,                 1.1284,                0.93974,                0.80235,                0.88916,                0.75895,                0.61735,                0.44322,                  1.085,               0.008218,               0.008218,               0.008218
                     56,                0.66519,                0.53567,                 1.1221,                0.91362,                0.81242,                0.88668,                0.75746,                0.61982,                 0.4518,                  1.089,               0.008185,               0.008185,               0.008185
                     57,                0.65684,                 0.5251,                 1.1145,                0.93227,                0.80724,                0.88991,                0.76001,                0.61804,                0.43942,                 1.0885,               0.008152,               0.008152,               0.008152
                     58,                0.65415,                0.52255,                 1.1179,                 0.9372,                0.80969,                0.88857,                0.75774,                0.62388,                0.44558,                 1.0991,               0.008119,               0.008119,               0.008119
                     59,                0.65776,                0.52532,                 1.1202,                0.93269,                0.81605,                0.89281,                0.76182,                0.61421,                0.42881,                 1.0883,               0.008086,               0.008086,               0.008086
                     60,                0.65389,                0.51839,                 1.1133,                0.93613,                0.81025,                  0.891,                0.76455,                0.61259,                0.43131,                 1.0842,               0.008053,               0.008053,               0.008053
                     61,                0.65163,                 0.5144,                 1.1166,                0.94138,                0.80039,                0.88901,                0.76045,                0.61429,                0.44047,                 1.0851,                0.00802,                0.00802,                0.00802
                     62,                 0.6542,                0.51533,                 1.1149,                0.93536,                0.81898,                 0.8944,                 0.7654,                0.61479,                0.42756,                 1.0867,               0.007987,               0.007987,               0.007987
                     63,                0.64759,                0.51372,                 1.1104,                0.93328,                0.82126,                0.89536,                0.76575,                0.61507,                0.42735,                 1.0841,               0.007954,               0.007954,               0.007954
                     64,                 0.6511,                0.51538,                 1.1118,                0.92279,                0.81861,                0.89197,                0.76524,                0.61289,                0.42496,                   1.08,               0.007921,               0.007921,               0.007921
                     65,                0.65212,                0.51215,                 1.1118,                0.93062,                0.81367,                0.89591,                0.76338,                 0.6137,                0.41897,                 1.0833,               0.007888,               0.007888,               0.007888
                     66,                0.64882,                0.51309,                 1.1055,                0.92507,                 0.8215,                0.89637,                0.76578,                 0.6138,                0.41944,                 1.0859,               0.007855,               0.007855,               0.007855
                     67,                0.64245,                0.51088,                 1.1074,                 0.9404,                0.80724,                 0.8962,                0.76673,                0.60808,                0.42069,                 1.0817,               0.007822,               0.007822,               0.007822
                     68,                0.64438,                0.50611,                 1.1065,                0.93727,                0.81145,                0.89632,                0.76657,                0.60855,                 0.4276,                 1.0799,               0.007789,               0.007789,               0.007789
                     69,                0.65268,                0.51015,                 1.1083,                0.92469,                0.82894,                 0.8969,                 0.7653,                0.60919,                0.42487,                 1.0761,               0.007756,               0.007756,               0.007756
                     70,                0.65235,                0.51121,                 1.1109,                 0.9394,                0.81213,                0.89931,                0.77025,                0.59951,                 0.4174,                 1.0696,               0.007723,               0.007723,               0.007723
                     71,                0.64059,                 0.5045,                 1.1029,                0.93346,                0.82366,                0.89982,                0.76995,                0.60483,                0.41924,                  1.073,                0.00769,                0.00769,                0.00769
                     72,                0.64102,                0.49653,                 1.1023,                0.93017,                 0.8273,                0.89832,                 0.7727,                0.60427,                0.41545,                 1.0734,               0.007657,               0.007657,               0.007657
                     73,                0.64455,                0.50287,                 1.1027,                0.93692,                0.81115,                0.89648,                0.76764,                0.60893,                0.42373,                 1.0776,               0.007624,               0.007624,               0.007624
                     74,                0.63872,                 0.4958,                 1.0984,                0.94756,                 0.8133,                0.89885,                0.77101,                0.60869,                0.41947,                 1.0795,               0.007591,               0.007591,               0.007591
                     75,                0.63807,                0.49217,                 1.0945,                0.93272,                0.82143,                0.90244,                0.77108,                0.60568,                0.41323,                 1.0765,               0.007558,               0.007558,               0.007558
                     76,                0.62924,                0.48485,                 1.0942,                0.92725,                0.82583,                0.90027,                0.77109,                0.60652,                0.40978,                 1.0779,               0.007525,               0.007525,               0.007525
                     77,                0.64113,                0.50154,                  1.108,                0.91511,                0.82877,                0.89998,                0.76707,                0.61267,                0.42145,                 1.0793,               0.007492,               0.007492,               0.007492
                     78,                 0.6339,                0.49127,                 1.0979,                0.92545,                0.82045,                 0.9026,                0.77163,                0.60599,                0.41256,                 1.0748,               0.007459,               0.007459,               0.007459
                     79,                0.64349,                0.49681,                 1.0995,                0.93841,                0.81605,                 0.9043,                0.77252,                0.60246,                0.41202,                 1.0717,               0.007426,               0.007426,               0.007426
                     80,                0.62871,                0.48238,                 1.0922,                0.92866,                0.82792,                0.90337,                0.77494,                0.60524,                0.40924,                 1.0709,               0.007393,               0.007393,               0.007393
                     81,                0.63467,                0.48791,                 1.0971,                0.91794,                0.83736,                0.90469,                0.77374,                0.60703,                0.40815,                 1.0707,                0.00736,                0.00736,                0.00736
                     82,                0.63079,                 0.4795,                 1.0912,                0.93645,                 0.8229,                0.90544,                0.77366,                0.60452,                0.40256,                 1.0714,               0.007327,               0.007327,               0.007327
                     83,                0.63184,                0.48406,                 1.0933,                0.92124,                 0.8317,                0.90409,                0.77271,                0.60218,                 0.4061,                 1.0715,               0.007294,               0.007294,               0.007294
                     84,                0.62928,                0.48177,                 1.0911,                0.95373,                0.80871,                0.90429,                0.77244,                0.60782,                0.40391,                 1.0736,               0.007261,               0.007261,               0.007261
                     85,                0.62803,                0.47588,                 1.0906,                0.94407,                0.80925,                0.90213,                0.77374,                0.60482,                 0.4044,                 1.0712,               0.007228,               0.007228,               0.007228
                     86,                0.62844,                0.47624,                 1.0875,                0.93895,                0.82021,                0.90204,                0.77365,                0.59657,                0.40649,                 1.0617,               0.007195,               0.007195,               0.007195
                     87,                0.63121,                0.47929,                 1.0831,                0.92493,                0.83121,                0.90301,                 0.7721,                0.60323,                0.40905,                 1.0674,               0.007162,               0.007162,               0.007162
                     88,                0.62697,                 0.4753,                 1.0827,                0.94096,                0.81751,                0.90358,                0.77349,                0.60474,                0.39765,                 1.0699,               0.007129,               0.007129,               0.007129
                     89,                0.62849,                0.48057,                 1.0895,                 0.9261,                0.83387,                0.90574,                 0.7773,                0.60167,                0.40051,                 1.0675,               0.007096,               0.007096,               0.007096
                     90,                0.62589,                0.46939,                 1.0845,                0.91509,                0.83831,                0.90497,                0.77378,                0.60282,                0.39952,                 1.0709,               0.007063,               0.007063,               0.007063
                     91,                0.61718,                0.46547,                 1.0835,                0.93311,                0.82585,                 0.9038,                0.77471,                0.60311,                 0.3961,                  1.066,                0.00703,                0.00703,                0.00703
                     92,                 0.6293,                0.47525,                 1.0869,                0.93634,                0.83121,                0.90334,                0.77556,                0.60014,                0.40019,                 1.0664,               0.006997,               0.006997,               0.006997
                     93,                0.62457,                0.46888,                 1.0865,                 0.9187,                0.84033,                0.90324,                0.77519,                0.60314,                0.40065,                 1.0715,               0.006964,               0.006964,               0.006964
                     94,                0.62765,                0.47255,                 1.0837,                0.94637,                0.82045,                 0.9062,                0.77333,                0.60518,                0.39713,                 1.0688,               0.006931,               0.006931,               0.006931
                     95,                 0.6244,                 0.4683,                 1.0824,                0.94244,                0.82192,                0.90612,                0.77365,                0.60139,                 0.4005,                 1.0672,               0.006898,               0.006898,               0.006898
                     96,                 0.6151,                0.45586,                 1.0837,                0.94228,                0.81898,                0.90583,                0.77528,                0.60668,                0.39781,                 1.0731,               0.006865,               0.006865,               0.006865
                     97,                 0.6256,                0.46872,                  1.085,                0.93224,                0.83121,                0.90517,                0.77602,                0.60395,                0.39338,                 1.0699,               0.006832,               0.006832,               0.006832
                     98,                0.61809,                 0.4609,                 1.0798,                0.91393,                0.84149,                0.90687,                 0.7752,                0.60719,                0.39835,                  1.072,               0.006799,               0.006799,               0.006799
                     99,                 0.6173,                0.46223,                 1.0837,                0.91805,                0.83859,                0.90438,                0.77523,                0.60342,                0.39707,                 1.0686,               0.006766,               0.006766,               0.006766
                    100,                0.61871,                0.45818,                 1.0806,                 0.9401,                 0.8293,                0.90794,                0.77601,                  0.605,                0.39437,                 1.0714,               0.006733,               0.006733,               0.006733
                    101,                0.61417,                0.45518,                 1.0747,                0.94177,                0.82045,                0.90667,                 0.7751,                0.60386,                0.39631,                 1.0709,                 0.0067,                 0.0067,                 0.0067
                    102,                0.61122,                0.45209,                 1.0775,                0.93438,                0.82436,                0.90581,                0.77494,                0.60167,                0.39185,                 1.0713,               0.006667,               0.006667,               0.006667
                    103,                0.61679,                0.45659,                 1.0751,                0.94559,                0.82475,                0.90594,                0.77558,                0.60264,                0.39567,                 1.0692,               0.006634,               0.006634,               0.006634
                    104,                0.61001,                0.45127,                  1.073,                0.93812,                0.83069,                0.90625,                0.77757,                0.60196,                0.38982,                 1.0699,               0.006601,               0.006601,               0.006601
                    105,                0.61425,                 0.4577,                 1.0748,                0.93701,                0.83366,                0.90762,                0.77629,                0.60631,                0.39126,                 1.0709,               0.006568,               0.006568,               0.006568
                    106,                0.61467,                0.45922,                 1.0786,                 0.9343,                0.83317,                0.90792,                0.77836,                0.60288,                0.38967,                 1.0696,               0.006535,               0.006535,               0.006535
                    107,                0.61022,                0.44873,                 1.0715,                 0.9436,                 0.8267,                  0.908,                 0.7787,                0.60232,                0.38868,                 1.0702,               0.006502,               0.006502,               0.006502
                    108,                0.61206,                 0.4543,                 1.0724,                0.93378,                0.83478,                0.90734,                0.77763,                 0.6045,                0.39064,                 1.0717,               0.006469,               0.006469,               0.006469
                    109,                0.62182,                0.45233,                 1.0722,                0.94413,                0.82673,                0.90635,                0.77646,                0.60767,                0.39275,                 1.0741,               0.006436,               0.006436,               0.006436
                    110,                0.61153,                0.45009,                 1.0711,                0.92385,                0.84288,                 0.9072,                0.77868,                0.60391,                0.38872,                 1.0733,               0.006403,               0.006403,               0.006403
                    111,                0.60629,                0.44272,                 1.0689,                0.92048,                0.84295,                0.90832,                0.78156,                0.60088,                 0.3914,                 1.0684,                0.00637,                0.00637,                0.00637
                    112,                0.60606,                0.44381,                 1.0681,                0.93189,                0.83806,                0.90997,                0.77993,                0.60323,                0.39164,                 1.0711,               0.006337,               0.006337,               0.006337
                    113,                0.61217,                0.44699,                 1.0713,                0.93671,                0.83806,                0.90963,                0.77984,                0.59976,                0.38923,                 1.0672,               0.006304,               0.006304,               0.006304
                    114,                0.61085,                0.44425,                  1.068,                0.93393,                0.82983,                0.90861,                0.77726,                0.60346,                 0.3904,                 1.0689,               0.006271,               0.006271,               0.006271
                    115,                0.60645,                0.44657,                 1.0698,                0.93629,                0.83398,                0.90976,                0.77875,                0.60093,                0.38843,                 1.0661,               0.006238,               0.006238,               0.006238
                    116,                0.60172,                0.44057,                 1.0661,                0.93178,                0.83855,                0.91169,                0.77847,                0.59842,                0.38581,                 1.0645,               0.006205,               0.006205,               0.006205
                    117,                 0.6113,                0.44724,                 1.0711,                0.93566,                0.83248,                 0.9102,                0.77983,                0.59893,                 0.3892,                 1.0632,               0.006172,               0.006172,               0.006172
                    118,                0.60392,                0.44288,                 1.0617,                0.93388,                0.83464,                0.91016,                0.77779,                0.60333,                0.38854,                 1.0668,               0.006139,               0.006139,               0.006139
                    119,                  0.606,                0.43797,                 1.0658,                0.92305,                0.84511,                0.90842,                0.77921,                 0.6052,                0.38735,                  1.069,               0.006106,               0.006106,               0.006106
                    120,                0.60596,                0.43851,                 1.0702,                0.94122,                0.83659,                0.91187,                0.78112,                0.60172,                0.38247,                 1.0668,               0.006073,               0.006073,               0.006073
                    121,                0.60973,                0.44473,                 1.0681,                0.92926,                0.84187,                0.91223,                0.77973,                0.60532,                0.38518,                 1.0705,                0.00604,                0.00604,                0.00604
                    122,                0.60411,                0.43906,                 1.0631,                0.93499,                0.83562,                0.91093,                0.78141,                0.60304,                0.38547,                 1.0669,               0.006007,               0.006007,               0.006007
