                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7474,                 3.8696,                 3.9246,                0.16544,                0.12385,                0.06311,                0.02289,                 2.1621,                 3.5478,                 3.5316,               0.003326,               0.003326,               0.003326
                      2,                 2.0865,                 2.6094,                  2.876,                0.72893,                0.46526,                 0.5408,                 0.3662,                 1.3969,                 2.0475,                 2.2159,              0.0066374,              0.0066374,              0.0066374
                      3,                 1.5236,                 1.8427,                 2.1563,                0.86005,                 0.5472,                0.65079,                0.49518,                 1.0618,                 1.5093,                 1.7289,              0.0099268,              0.0099268,              0.0099268
                      4,                 1.2157,                 1.4594,                 1.7859,                0.88023,                0.61986,                 0.7041,                0.55281,                0.94156,                 1.1789,                 1.5429,               0.009901,               0.009901,               0.009901
                      5,                 1.0795,                 1.2405,                 1.6111,                0.89864,                0.67232,                0.75042,                0.60649,                0.84546,                0.92601,                 1.4198,               0.009868,               0.009868,               0.009868
                      6,                0.99621,                 1.1134,                  1.513,                0.92979,                 0.6864,                0.77437,                0.63134,                0.80741,                0.83152,                 1.3532,               0.009835,               0.009835,               0.009835
                      7,                0.94516,                 1.0112,                 1.4518,                 0.9298,                0.70401,                0.78674,                0.64248,                0.77861,                 0.7696,                  1.319,               0.009802,               0.009802,               0.009802
                      8,                0.91153,                0.94674,                 1.4152,                0.92176,                0.72626,                0.80176,                0.65449,                0.76463,                 0.7295,                 1.2923,               0.009769,               0.009769,               0.009769
                      9,                0.88434,                0.90704,                 1.3753,                0.92598,                0.71526,                0.80886,                0.66709,                0.73844,                0.71822,                  1.255,               0.009736,               0.009736,               0.009736
                     10,                0.86381,                0.86852,                  1.352,                0.94158,                0.72456,                0.81471,                0.67362,                0.73813,                0.68915,                 1.2551,               0.009703,               0.009703,               0.009703
                     11,                0.84134,                0.84024,                 1.3339,                0.94108,                0.73455,                0.82134,                0.68253,                0.72751,                0.70162,                 1.2377,                0.00967,                0.00967,                0.00967
                     12,                0.82765,                0.80451,                 1.3195,                0.95012,                0.72683,                0.82963,                0.68397,                0.71885,                0.65219,                 1.2226,               0.009637,               0.009637,               0.009637
                     13,                0.80738,                0.77207,                 1.2974,                0.93076,                0.75636,                0.83698,                0.69585,                0.71557,                0.62799,                 1.2279,               0.009604,               0.009604,               0.009604
                     14,                 0.8155,                0.78204,                 1.2971,                0.94117,                0.74168,                0.82963,                0.69569,                0.70278,                0.67505,                  1.212,               0.009571,               0.009571,               0.009571
                     15,                0.79851,                0.76153,                 1.2775,                0.94888,                0.74462,                0.84033,                0.70485,                0.69823,                0.60916,                 1.1965,               0.009538,               0.009538,               0.009538
                     16,                0.78985,                0.74994,                 1.2714,                0.93458,                0.75832,                0.84079,                 0.7035,                0.69928,                0.62322,                 1.2042,               0.009505,               0.009505,               0.009505
                     17,                0.78356,                0.73385,                 1.2625,                0.95161,                0.75196,                0.84577,                0.70811,                0.69283,                0.60228,                 1.1936,               0.009472,               0.009472,               0.009472
                     18,                0.77666,                0.72872,                 1.2568,                0.93288,                0.76162,                0.85189,                0.71169,                 0.6932,                0.58838,                 1.1918,               0.009439,               0.009439,               0.009439
                     19,                0.76614,                0.70541,                 1.2425,                0.95076,                0.76321,                0.84863,                0.71211,                0.68309,                0.57347,                 1.1762,               0.009406,               0.009406,               0.009406
                     20,                0.76261,                0.69335,                 1.2412,                0.94589,                0.75783,                0.85139,                0.71092,                0.68196,                0.58009,                 1.1753,               0.009373,               0.009373,               0.009373
                     21,                0.76018,                0.69748,                 1.2312,                0.94497,                0.75605,                0.84804,                0.71994,                0.67142,                0.57244,                 1.1667,                0.00934,                0.00934,                0.00934
                     22,                0.75069,                0.68698,                 1.2275,                 0.9363,                0.77153,                0.85669,                 0.7151,                0.68402,                0.56378,                 1.1792,               0.009307,               0.009307,               0.009307
                     23,                0.74456,                0.67836,                 1.2158,                0.95954,                0.76566,                0.85678,                0.72161,                0.67685,                0.55392,                 1.1734,               0.009274,               0.009274,               0.009274
                     24,                 0.7398,                0.66132,                 1.2191,                0.95236,                0.76287,                0.86233,                0.72809,                0.66137,                0.54904,                 1.1528,               0.009241,               0.009241,               0.009241
                     25,                0.74215,                0.66538,                 1.2181,                0.94765,                0.76169,                0.85627,                0.72167,                0.66432,                0.55282,                 1.1549,               0.009208,               0.009208,               0.009208
