                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2576,                 3.3393,                 3.7747,                0.26454,                0.25538,                0.17055,                 0.0817,                 2.0252,                 2.7607,                 3.0442,               0.003326,               0.003326,               0.003326
                      2,                 1.8809,                 1.9373,                 2.2981,                0.77412,                0.50978,                0.57939,                0.41031,                 1.2319,                 1.4735,                 1.7735,              0.0066374,              0.0066374,              0.0066374
                      3,                 1.3823,                  1.351,                 1.7347,                0.81285,                0.56309,                0.63599,                0.48607,                 1.0115,                  1.091,                 1.4878,              0.0099268,              0.0099268,              0.0099268
                      4,                 1.1252,                  1.087,                 1.4834,                0.91016,                0.62965,                0.71781,                0.56815,                0.88222,                0.86215,                 1.3317,               0.009901,               0.009901,               0.009901
                      5,                 1.0051,                0.92714,                 1.3536,                0.91334,                0.67027,                0.74476,                0.60564,                0.79247,                0.73909,                 1.2408,               0.009868,               0.009868,               0.009868
                      6,                0.93642,                 0.8443,                 1.2871,                0.92505,                0.68787,                0.77038,                 0.6291,                0.76513,                0.65933,                 1.2051,               0.009835,               0.009835,               0.009835
                      7,                0.88855,                0.77675,                 1.2454,                0.92758,                0.71432,                0.78592,                0.64168,                0.76097,                0.62988,                 1.1973,               0.009802,               0.009802,               0.009802
                      8,                0.87499,                0.75244,                 1.2281,                0.93251,                0.71651,                0.79548,                0.65457,                0.74248,                0.61817,                 1.1697,               0.009769,               0.009769,               0.009769
                      9,                0.84908,                0.72586,                 1.1958,                0.92667,                 0.7319,                0.80667,                0.66215,                0.72995,                0.63707,                  1.146,               0.009736,               0.009736,               0.009736
                     10,                0.83611,                0.69543,                 1.1846,                0.92763,                0.72112,                0.80608,                0.66521,                0.73103,                0.59062,                 1.1511,               0.009703,               0.009703,               0.009703
                     11,                0.81957,                0.68346,                 1.1747,                0.94197,                0.72847,                0.81934,                0.67387,                0.72213,                0.58038,                 1.1368,                0.00967,                0.00967,                0.00967
                     12,                0.80233,                0.66204,                 1.1625,                0.93717,                0.73581,                0.81972,                0.68015,                0.70913,                0.55619,                 1.1307,               0.009637,               0.009637,               0.009637
                     13,                0.78828,                0.63662,                 1.1519,                0.92934,                0.74119,                0.82045,                0.68126,                0.70627,                0.54815,                 1.1252,               0.009604,               0.009604,               0.009604
                     14,                0.79334,                0.64533,                 1.1393,                0.91764,                0.75226,                0.82471,                 0.6901,                0.68099,                0.54478,                 1.1107,               0.009571,               0.009571,               0.009571
                     15,                0.77547,                  0.626,                 1.1336,                 0.9502,                 0.7407,                0.82917,                0.69052,                0.68948,                0.53083,                 1.1111,               0.009538,               0.009538,               0.009538
                     16,                0.76431,                0.61975,                 1.1267,                0.92022,                0.76614,                0.83496,                0.69484,                0.68049,                0.52578,                 1.1013,               0.009505,               0.009505,               0.009505
                     17,                0.75735,                0.60823,                 1.1223,                0.92663,                0.76566,                0.83829,                0.70138,                0.67562,                0.51002,                 1.0998,               0.009472,               0.009472,               0.009472
                     18,                0.75226,                 0.5987,                 1.1163,                0.93337,                0.77446,                0.84418,                0.70377,                0.67895,                0.49993,                 1.1019,               0.009439,               0.009439,               0.009439
                     19,                0.74019,                 0.5842,                 1.1072,                0.92726,                0.76716,                 0.8407,                0.70477,                0.66108,                0.50032,                 1.0898,               0.009406,               0.009406,               0.009406
                     20,                0.73645,                0.57624,                 1.1079,                0.93895,                0.76174,                0.84211,                0.70548,                0.66671,                0.48793,                 1.0873,               0.009373,               0.009373,               0.009373
                     21,                0.73239,                0.57088,                 1.0988,                0.94718,                0.75685,                0.84236,                0.71073,                0.65282,                0.48368,                 1.0781,                0.00934,                0.00934,                0.00934
                     22,                0.72627,                  0.566,                 1.0958,                0.96041,                0.75951,                0.84544,                0.71121,                 0.6619,                0.48865,                 1.0825,               0.009307,               0.009307,               0.009307
                     23,                0.72058,                 0.5591,                 1.0942,                0.94318,                0.76076,                0.84399,                0.70506,                0.67196,                 0.4911,                 1.0931,               0.009274,               0.009274,               0.009274
                     24,                 0.7172,                0.55272,                 1.0957,                0.92773,                0.77935,                0.84949,                 0.7169,                0.64303,                0.47661,                 1.0692,               0.009241,               0.009241,               0.009241
                     25,                0.71654,                  0.553,                  1.092,                0.95076,                0.76174,                0.85046,                0.71578,                0.65554,                0.47221,                 1.0803,               0.009208,               0.009208,               0.009208
                     26,                0.71118,                0.54298,                 1.0936,                0.94313,                 0.7725,                0.84285,                0.71153,                0.65057,                0.47666,                 1.0777,               0.009175,               0.009175,               0.009175
                     27,                0.71411,                0.54362,                 1.0878,                 0.9556,                0.76858,                0.85366,                0.71726,                0.64816,                0.46257,                 1.0748,               0.009142,               0.009142,               0.009142
                     28,                0.70389,                 0.5385,                  1.081,                0.95242,                 0.7737,                0.85918,                0.72171,                0.64551,                 0.4592,                 1.0712,               0.009109,               0.009109,               0.009109
                     29,                 0.7002,                0.52645,                 1.0897,                0.94869,                0.77793,                 0.8586,                0.72554,                0.64078,                0.45849,                 1.0643,               0.009076,               0.009076,               0.009076
