                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7593,                 3.8487,                 3.9154,                0.16159,                0.09491,                0.04852,                0.02474,                 2.2866,                  3.592,                 3.7265,               0.003326,               0.003326,               0.003326
                      2,                 1.8772,                 2.3678,                 2.6069,                0.76031,                0.50587,                0.57689,                0.41904,                 1.2252,                 1.7497,                 1.9556,              0.0066374,              0.0066374,              0.0066374
                      3,                 1.3707,                 1.7272,                 1.9728,                0.83832,                0.58851,                0.66752,                0.51603,                0.99942,                  1.483,                 1.6112,              0.0099268,              0.0099268,              0.0099268
                      4,                 1.1454,                 1.3799,                 1.6866,                0.86214,                0.62133,                0.70958,                0.56405,                0.88703,                 1.0849,                 1.4634,               0.009901,               0.009901,               0.009901
                      5,                 1.0378,                  1.186,                 1.5491,                0.87943,                0.66585,                0.74434,                0.59635,                0.84685,                 0.9559,                 1.3954,               0.009868,               0.009868,               0.009868
                      6,                0.96452,                 1.0704,                 1.4685,                0.93659,                0.67613,                0.77508,                0.63745,                0.77333,                0.80833,                 1.2998,               0.009835,               0.009835,               0.009835
                      7,                0.92387,                0.98044,                 1.4152,                0.92357,                0.69374,                0.78338,                 0.6455,                0.76604,                0.76273,                 1.2885,               0.009802,               0.009802,               0.009802
                      8,                0.89588,                0.92785,                 1.3857,                0.92208,                0.68787,                0.77241,                0.64477,                0.75157,                0.80216,                 1.2623,               0.009769,               0.009769,               0.009769
                      9,                0.87442,                0.88867,                 1.3539,                0.92149,                0.71575,                0.80658,                0.66524,                0.74393,                0.73096,                 1.2512,               0.009736,               0.009736,               0.009736
                     10,                0.85454,                0.85583,                 1.3307,                0.92998,                0.71477,                0.81035,                0.67618,                0.73158,                0.68115,                 1.2309,               0.009703,               0.009703,               0.009703
                     11,                0.83533,                  0.828,                 1.3165,                0.92912,                0.73679,                0.82328,                0.68154,                0.73023,                0.65834,                 1.2275,                0.00967,                0.00967,                0.00967
                     12,                0.82203,                0.79976,                 1.3027,                0.92748,                0.73212,                0.82228,                0.68119,                0.71603,                 0.6454,                 1.2151,               0.009637,               0.009637,               0.009637
                     13,                0.80467,                0.77298,                  1.287,                0.92942,                0.74315,                0.82611,                0.68803,                0.71593,                0.64221,                 1.2164,               0.009604,               0.009604,               0.009604
                     14,                0.80943,                0.78129,                 1.2802,                0.93486,                0.72314,                0.82566,                0.69137,                0.69931,                0.64314,                 1.2005,               0.009571,               0.009571,               0.009571
                     15,                0.79382,                0.75907,                 1.2644,                0.92065,                 0.7544,                0.83482,                0.69541,                0.69497,                0.70222,                 1.1946,               0.009538,               0.009538,               0.009538
                     16,                0.78673,                0.74593,                 1.2556,                0.95383,                0.73728,                0.84112,                0.69944,                0.69558,                0.59951,                 1.1861,               0.009505,               0.009505,               0.009505
                     17,                0.77532,                0.73038,                 1.2473,                0.95019,                0.74902,                0.84227,                0.70938,                 0.6826,                0.59117,                 1.1785,               0.009472,               0.009472,               0.009472
                     18,                0.77442,                0.72162,                 1.2431,                0.94517,                0.75391,                0.84734,                0.70848,                0.68736,                0.58908,                 1.1737,               0.009439,               0.009439,               0.009439
                     19,                0.76465,                0.69892,                 1.2321,                0.95538,                 0.7543,                0.85033,                0.71089,                0.68333,                0.56402,                 1.1695,               0.009406,               0.009406,               0.009406
                     20,                0.76026,                 0.6924,                 1.2334,                0.95699,                0.74022,                0.84412,                0.71183,                0.68211,                0.58698,                 1.1761,               0.009373,               0.009373,               0.009373
                     21,                0.75865,                0.69281,                 1.2225,                0.95188,                0.75049,                 0.8499,                0.71263,                 0.6727,                0.56807,                 1.1633,                0.00934,                0.00934,                0.00934
                     22,                 0.7463,                0.67954,                 1.2149,                   0.94,                0.76517,                0.85436,                0.71646,                0.67877,                0.55201,                 1.1624,               0.009307,               0.009307,               0.009307
                     23,                0.74086,                0.67195,                 1.2074,                0.95624,                0.76125,                0.84905,                0.71573,                0.67773,                0.56146,                 1.1668,               0.009274,               0.009274,               0.009274
                     24,                0.73728,                0.65561,                  1.208,                 0.9486,                0.76751,                0.85391,                 0.7218,                0.66276,                0.54949,                 1.1492,               0.009241,               0.009241,               0.009241
                     25,                0.73883,                0.65831,                 1.2064,                0.93878,                0.76522,                0.85544,                0.72089,                0.66422,                0.53908,                 1.1537,               0.009208,               0.009208,               0.009208
                     26,                0.73255,                0.65216,                 1.2038,                0.94315,                0.77914,                0.86291,                0.72582,                0.66619,                0.53042,                 1.1532,               0.009175,               0.009175,               0.009175
                     27,                0.73384,                0.65371,                 1.2006,                0.93414,                 0.7841,                0.86382,                0.72523,                0.66546,                0.53702,                 1.1506,               0.009142,               0.009142,               0.009142
                     28,                0.72841,                0.64424,                 1.1913,                0.93408,                0.78278,                0.86561,                0.72651,                0.65791,                0.52827,                 1.1369,               0.009109,               0.009109,               0.009109
                     29,                0.71776,                0.62372,                 1.1894,                0.93548,                0.78027,                0.86314,                0.72426,                0.66957,                0.53909,                  1.148,               0.009076,               0.009076,               0.009076
                     30,                0.71252,                0.62296,                 1.1864,                0.93815,                 0.7792,                0.86486,                0.72993,                0.64904,                 0.5135,                 1.1313,               0.009043,               0.009043,               0.009043
                     31,                0.71466,                0.61834,                  1.186,                0.93078,                 0.7862,                0.86894,                0.73512,                0.64457,                0.52668,                 1.1331,                0.00901,                0.00901,                0.00901
                     32,                 0.7131,                0.62411,                 1.1819,                0.93864,                0.78669,                0.86918,                0.73423,                 0.6489,                0.51851,                 1.1335,               0.008977,               0.008977,               0.008977
                     33,                0.71141,                0.61428,                  1.177,                0.94114,                0.78229,                0.86808,                0.73299,                0.63837,                0.50466,                 1.1246,               0.008944,               0.008944,               0.008944
                     34,                0.70976,                0.60961,                 1.1752,                0.94198,                0.78523,                0.86248,                0.73002,                0.64207,                0.51955,                 1.1298,               0.008911,               0.008911,               0.008911
                     35,                0.69899,                0.60781,                 1.1695,                 0.9431,                0.77984,                0.86813,                0.73637,                0.64585,                 0.5031,                 1.1346,               0.008878,               0.008878,               0.008878
                     36,                0.71146,                0.60574,                 1.1755,                0.93626,                0.79051,                0.87382,                0.73993,                0.64239,                0.49732,                 1.1252,               0.008845,               0.008845,               0.008845
                     37,                0.69928,                0.59306,                 1.1705,                0.94774,                0.78076,                0.86947,                0.73556,                 0.6377,                0.50324,                 1.1211,               0.008812,               0.008812,               0.008812
                     38,                0.70097,                0.59972,                 1.1651,                0.93129,                0.79159,                0.87256,                0.73805,                0.64725,                0.49762,                 1.1262,               0.008779,               0.008779,               0.008779
                     39,                0.68858,                0.58084,                 1.1609,                0.93763,                0.79256,                0.87402,                0.73764,                0.64456,                0.49968,                 1.1266,               0.008746,               0.008746,               0.008746
                     40,                0.69163,                0.58165,                 1.1573,                0.93803,                0.79237,                0.87698,                0.74205,                0.64254,                0.48146,                 1.1214,               0.008713,               0.008713,               0.008713
                     41,                0.69237,                0.57861,                 1.1606,                0.94175,                0.79599,                 0.8765,                0.74464,                0.63412,                 0.4822,                 1.1176,                0.00868,                0.00868,                0.00868
                     42,                0.68524,                0.57245,                 1.1549,                0.93864,                0.79327,                0.87854,                 0.7434,                0.63685,                 0.4781,                 1.1134,               0.008647,               0.008647,               0.008647
                     43,                0.68367,                0.56383,                 1.1526,                0.93878,                0.79529,                0.87717,                0.74226,                0.64181,                0.47896,                 1.1235,               0.008614,               0.008614,               0.008614
                     44,                0.68061,                 0.5675,                 1.1505,                0.93097,                 0.7984,                 0.8762,                0.74368,                 0.6368,                 0.4777,                 1.1166,               0.008581,               0.008581,               0.008581
                     45,                0.68894,                 0.5716,                 1.1531,                0.94755,                0.79552,                0.87898,                0.74795,                0.63065,                0.46489,                 1.1116,               0.008548,               0.008548,               0.008548
                     46,                0.67476,                0.55711,                 1.1423,                0.93304,                0.80449,                0.87992,                0.74702,                0.63148,                0.46447,                 1.1118,               0.008515,               0.008515,               0.008515
                     47,                0.67745,                0.56043,                 1.1458,                0.94875,                0.79704,                0.87756,                0.74355,                0.63654,                0.47162,                 1.1105,               0.008482,               0.008482,               0.008482
                     48,                0.67681,                0.56289,                 1.1439,                0.94632,                0.79697,                0.88202,                0.75164,                0.62426,                0.46774,                 1.1012,               0.008449,               0.008449,               0.008449
                     49,                0.67571,                0.55551,                 1.1417,                0.95599,                0.78914,                0.88649,                0.75319,                 0.6284,                0.45541,                 1.1017,               0.008416,               0.008416,               0.008416
                     50,                 0.6755,                0.54673,                 1.1439,                0.94336,                0.80676,                0.88638,                0.75228,                0.62918,                0.45475,                 1.1022,               0.008383,               0.008383,               0.008383
                     51,                0.67349,                0.54991,                 1.1426,                0.95016,                0.80209,                0.88294,                0.74946,                0.63161,                0.45853,                 1.1069,                0.00835,                0.00835,                0.00835
                     52,                 0.6783,                0.54942,                  1.139,                0.93355,                0.81409,                0.88742,                0.75167,                0.63283,                0.46184,                 1.1102,               0.008317,               0.008317,               0.008317
                     53,                0.66534,                 0.5448,                 1.1312,                0.94102,                0.80479,                0.88663,                0.75213,                0.63023,                0.45611,                 1.1024,               0.008284,               0.008284,               0.008284
                     54,                0.66693,                0.54784,                 1.1276,                0.92806,                0.81751,                0.88536,                0.75351,                0.62313,                0.45729,                 1.0961,               0.008251,               0.008251,               0.008251
                     55,                0.66326,                0.53755,                 1.1258,                0.93846,                0.81318,                0.88444,                0.75167,                0.62628,                 0.4617,                  1.101,               0.008218,               0.008218,               0.008218
                     56,                 0.6621,                0.53902,                 1.1296,                0.95165,                0.79452,                 0.8864,                0.75358,                0.63577,                0.45617,                  1.106,               0.008185,               0.008185,               0.008185
                     57,                0.67438,                0.53787,                 1.1342,                0.94129,                 0.8079,                 0.8884,                0.75412,                0.63142,                0.43863,                 1.1042,               0.008152,               0.008152,               0.008152
                     58,                0.66532,                0.53638,                 1.1248,                0.93529,                  0.818,                0.89344,                0.75798,                  0.629,                0.43408,                 1.0984,               0.008119,               0.008119,               0.008119
                     59,                0.66356,                0.52888,                 1.1295,                0.93332,                0.81483,                0.88892,                0.75545,                0.62285,                0.44826,                 1.0982,               0.008086,               0.008086,               0.008086
                     60,                0.65483,                0.52414,                 1.1205,                0.93757,                 0.8082,                0.89017,                0.75882,                0.62474,                0.44575,                  1.098,               0.008053,               0.008053,               0.008053
                     61,                0.65479,                0.52601,                 1.1191,                0.94234,                0.80724,                0.88797,                0.75579,                0.62506,                0.44944,                 1.0988,                0.00802,                0.00802,                0.00802
                     62,                0.65696,                0.52086,                  1.121,                0.94391,                0.81311,                0.89287,                0.75837,                0.61916,                0.43648,                 1.0913,               0.007987,               0.007987,               0.007987
                     63,                0.65852,                0.52684,                 1.1261,                0.93461,                0.82681,                0.89675,                0.76223,                0.62041,                0.42981,                 1.0911,               0.007954,               0.007954,               0.007954
                     64,                 0.6558,                0.52342,                 1.1169,                0.92624,                0.82436,                 0.8922,                0.76048,                0.61868,                0.43293,                 1.0927,               0.007921,               0.007921,               0.007921
                     65,                0.65399,                0.52432,                 1.1147,                0.94508,                0.79979,                0.88771,                0.75977,                0.62522,                 0.4473,                  1.095,               0.007888,               0.007888,               0.007888
                     66,                0.65736,                0.52213,                 1.1168,                0.93284,                0.81556,                0.89249,                0.76024,                0.62497,                0.43548,                 1.0972,               0.007855,               0.007855,               0.007855
                     67,                0.65279,                0.52045,                 1.1114,                0.94301,                0.81767,                0.89191,                0.75964,                0.61898,                0.43536,                 1.0902,               0.007822,               0.007822,               0.007822
                     68,                0.64651,                0.50756,                 1.1093,                0.93155,                 0.8273,                0.89507,                0.76381,                 0.6166,                0.43189,                 1.0912,               0.007789,               0.007789,               0.007789
                     69,                0.64893,                0.51204,                 1.1104,                0.94545,                0.81898,                0.89333,                0.75908,                0.62415,                0.42819,                 1.0919,               0.007756,               0.007756,               0.007756
                     70,                 0.6532,                0.50909,                 1.1123,                0.94326,                0.81325,                0.89498,                0.76216,                0.62418,                0.43474,                 1.0923,               0.007723,               0.007723,               0.007723
                     71,                0.64658,                0.51414,                 1.1103,                0.93743,                0.81409,                 0.8922,                 0.7552,                0.62782,                0.43617,                 1.0967,                0.00769,                0.00769,                0.00769
                     72,                0.64556,                0.50543,                 1.1088,                0.94245,                0.81849,                0.89351,                0.76203,                 0.6135,                0.42484,                 1.0845,               0.007657,               0.007657,               0.007657
                     73,                0.63939,                 0.5022,                 1.1045,                0.93502,                0.81655,                0.89486,                0.76181,                0.61948,                0.43258,                 1.0902,               0.007624,               0.007624,               0.007624
                     74,                 0.6474,                0.50209,                  1.107,                0.94323,                0.81458,                0.89608,                0.76232,                0.61907,                0.42295,                 1.0889,               0.007591,               0.007591,               0.007591
                     75,                0.64818,                0.50486,                 1.1082,                0.94971,                0.81302,                0.89651,                0.76346,                0.61805,                0.42626,                  1.088,               0.007558,               0.007558,               0.007558
                     76,                0.64702,                0.50455,                 1.1084,                0.93667,                0.82495,                0.90055,                0.76815,                0.61283,                0.41561,                 1.0827,               0.007525,               0.007525,               0.007525
                     77,                0.64017,                0.49999,                 1.1077,                0.93479,                0.82387,                 0.9001,                0.76422,                0.61235,                0.42383,                 1.0791,               0.007492,               0.007492,               0.007492
                     78,                0.64082,                0.49388,                 1.1058,                 0.9468,                0.81947,                0.90111,                0.76747,                0.61801,                 0.4138,                 1.0873,               0.007459,               0.007459,               0.007459
                     79,                0.64065,                0.49597,                 1.1005,                0.94187,                0.81654,                0.89907,                0.76726,                0.61545,                0.41505,                 1.0832,               0.007426,               0.007426,               0.007426
                     80,                0.63936,                0.49315,                 1.0969,                 0.9499,                0.80871,                0.89731,                0.76681,                0.61962,                0.41515,                 1.0854,               0.007393,               0.007393,               0.007393
                     81,                0.63952,                0.49505,                 1.0933,                0.94634,                0.81751,                0.89879,                0.76585,                0.61682,                0.41541,                 1.0815,                0.00736,                0.00736,                0.00736
                     82,                0.64368,                0.49505,                 1.1017,                0.94522,                0.81881,                0.90028,                0.76796,                0.61477,                0.41311,                 1.0797,               0.007327,               0.007327,               0.007327
                     83,                0.63236,                0.48584,                 1.0976,                0.93185,                0.82241,                0.90072,                0.76606,                0.61467,                0.41288,                 1.0815,               0.007294,               0.007294,               0.007294
                     84,                0.63504,                0.48797,                 1.0955,                0.90914,                0.84149,                0.90145,                0.76985,                0.61174,                0.40793,                 1.0781,               0.007261,               0.007261,               0.007261
                     85,                0.63542,                0.49092,                 1.0967,                0.93568,                0.82045,                0.90038,                0.76832,                0.61382,                0.40883,                 1.0819,               0.007228,               0.007228,               0.007228
                     86,                0.63582,                0.48516,                 1.0951,                0.93416,                0.81703,                0.89765,                0.76581,                0.61537,                0.41499,                 1.0812,               0.007195,               0.007195,               0.007195
                     87,                0.63194,                0.48197,                  1.092,                0.93047,                0.82494,                0.89978,                0.76663,                0.61293,                  0.414,                 1.0794,               0.007162,               0.007162,               0.007162
                     88,                0.63147,                0.48203,                 1.0915,                0.94918,                0.81333,                0.90065,                0.76795,                0.61731,                0.41035,                 1.0833,               0.007129,               0.007129,               0.007129
                     89,                  0.637,                0.48827,                 1.0954,                 0.9479,                0.81884,                0.90397,                0.77092,                0.61202,                0.40819,                 1.0764,               0.007096,               0.007096,               0.007096
                     90,                0.62777,                0.47726,                 1.0848,                0.92841,                0.83219,                0.90206,                0.76932,                 0.6078,                0.40192,                 1.0733,               0.007063,               0.007063,               0.007063
                     91,                0.62997,                0.47668,                 1.0889,                0.94112,                0.82106,                0.90714,                 0.7737,                0.60761,                0.39583,                 1.0723,                0.00703,                0.00703,                0.00703
                     92,                0.63185,                0.48153,                 1.0895,                 0.9438,                 0.8273,                0.90493,                0.77211,                0.61104,                0.40431,                 1.0756,               0.006997,               0.006997,               0.006997
                     93,                0.62823,                0.47183,                 1.0867,                0.93458,                0.83174,                0.90741,                0.76951,                0.61208,                0.39803,                 1.0771,               0.006964,               0.006964,               0.006964
                     94,                0.63009,                0.47296,                 1.0867,                0.93177,                0.83513,                0.90454,                0.77105,                0.61086,                0.40901,                 1.0768,               0.006931,               0.006931,               0.006931
                     95,                0.62448,                0.47373,                 1.0826,                0.93272,                0.82828,                0.90486,                 0.7697,                0.61163,                0.40412,                 1.0765,               0.006898,               0.006898,               0.006898
                     96,                0.62543,                0.46834,                 1.0823,                0.93706,                0.83031,                0.90476,                0.77265,                0.60756,                0.40067,                 1.0727,               0.006865,               0.006865,               0.006865
                     97,                0.62084,                0.46944,                 1.0809,                0.94521,                0.81877,                 0.9042,                0.77171,                0.60506,                0.39748,                 1.0729,               0.006832,               0.006832,               0.006832
                     98,                0.62527,                0.47338,                 1.0826,                0.95031,                0.81458,                0.90346,                0.77111,                0.60816,                0.39929,                 1.0738,               0.006799,               0.006799,               0.006799
                     99,                0.62572,                 0.4707,                  1.087,                0.94498,                0.81898,                0.90452,                0.77043,                0.61286,                0.39655,                 1.0769,               0.006766,               0.006766,               0.006766
                    100,                0.61809,                0.46215,                 1.0776,                0.93491,                0.83464,                0.90616,                0.77267,                 0.6063,                0.39406,                 1.0719,               0.006733,               0.006733,               0.006733
