                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3304,                 3.4152,                 3.8574,                0.29625,                0.25049,                0.17633,                0.08187,                 2.0489,                 3.2959,                 3.0064,               0.003326,               0.003326,               0.003326
                      2,                  1.884,                 1.9062,                 2.3161,                0.77426,                0.48288,                0.56641,                0.39986,                 1.2687,                 1.5483,                 1.8247,              0.0066374,              0.0066374,              0.0066374
                      3,                 1.3778,                 1.3141,                 1.7389,                0.83265,                 0.5623,                0.64846,                0.49585,                 1.0005,                 1.1159,                 1.4907,              0.0099268,              0.0099268,              0.0099268
                      4,                   1.12,                 1.0526,                   1.48,                0.86232,                0.58525,                0.67011,                0.52951,                0.92656,                 1.4607,                 1.3774,               0.009901,               0.009901,               0.009901
                      5,                0.99173,                0.90546,                 1.3456,                0.91092,                0.69042,                 0.7634,                0.61179,                0.81562,                 0.7288,                   1.26,               0.009868,               0.009868,               0.009868
                      6,                0.91849,                0.81872,                 1.2743,                0.92711,                0.70548,                0.77663,                0.63649,                0.77513,                0.65545,                 1.2099,               0.009835,               0.009835,               0.009835
                      7,                0.87677,                0.75489,                 1.2392,                0.93645,                 0.7089,                0.79055,                0.64942,                0.74341,                0.59901,                 1.1828,               0.009802,               0.009802,               0.009802
                      8,                0.85895,                0.72942,                 1.2192,                0.92831,                0.72853,                 0.7987,                0.65572,                0.73822,                0.62398,                 1.1687,               0.009769,               0.009769,               0.009769
                      9,                0.83872,                0.70567,                 1.1921,                0.94292,                 0.7319,                0.81101,                0.67425,                0.70779,                0.56241,                 1.1397,               0.009736,               0.009736,               0.009736
                     10,                0.81911,                0.68075,                 1.1745,                0.92761,                0.71918,                0.80412,                0.66798,                0.72393,                  0.578,                 1.1527,               0.009703,               0.009703,               0.009703
                     11,                0.80038,                0.66521,                 1.1649,                0.96663,                0.72277,                0.81657,                0.67673,                0.70826,                0.55001,                 1.1324,                0.00967,                0.00967,                0.00967
                     12,                 0.7895,                0.64472,                 1.1546,                0.93498,                0.75049,                0.82568,                0.68446,                0.70279,                0.53833,                 1.1269,               0.009637,               0.009637,               0.009637
